"Marca temporal","Resultado del test","Nombre del archivo subido. Ejemplo (ID_612050246567501450)","¿Cuál es tu edad?","Define tu nivel de experiencia jugando a videojuegos (EN GENERAL)","Define tu nivel de experiencia jugando a videojuegos de PLATAFORMAS","Resulta fácil realizar un wall-jump (saltos de una pared a otra)","Resulta fácil realizar un cambio de gravedad","¿Cuál ha sido tu percepción de la dificultad del videojuego en cada nivel? [Nivel 1]","¿Cuál ha sido tu percepción de la dificultad del videojuego en cada nivel? [Nivel 2]","¿Cuál ha sido tu percepción de la dificultad del videojuego en cada nivel? [Nivel 3]","¿Cuál ha sido tu percepción de la dificultad del videojuego en cada nivel? [Nivel 4]"
"2022/05/10 10:04:22 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=10c1jnbtwsCmCYL3zJ5raKz23_J2YoU3i","ID_4535192451430987068","10-19","3","2","4","3","Muy fácil","Fácil","Fácil","Fácil"
"2022/05/10 10:06:04 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1j6VCdTAwERRkG56cXpW0h0hRw0VdEkjv","ID_5627269704990616138","40-59","3","4","2","2","Muy fácil","Fácil","Difícil","Difícil"
"2022/05/10 10:06:53 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=13WGJnendTc11Fousanc4QyVkVmRNF_dj","ID_4147301735535882507","20-29","3","3","2","1","Muy fácil","Fácil","Fácil","Difícil"
"2022/05/10 10:08:00 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1VXkktfkPhUf4W5KrDFryfjOwwHFSTGaC","ID_8558663873971432333","20-29","4","4","2","4","Muy fácil","Muy fácil","Fácil","Fácil"
"2022/05/10 10:08:16 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1_clC637r4t2oUgx9aKm9sv0zTjg0BBRA","ID_8671849818114185479","20-29","4","4","2","4","Muy fácil","Fácil","Fácil","Fácil"
"2022/05/10 10:18:59 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1-x3JQW-LH6SNw5C0XY-oeYIKo5KbvkS9","ID_4201470554981425180","20-29","4","2","3","3","Fácil","Muy Difícil","Muy fácil","Muy fácil"
"2022/05/10 10:22:30 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1AA6cP4VgQJ8ulUO8dwhvYIVWUyPSb7g3","ID_8406291744839928557","20-29","3","3","4","3","Muy fácil","Muy fácil","Fácil","Fácil"
"2022/05/10 10:35:02 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1oOhAwGYvHNzZAOXhqFqZhAUKd_rEu_mo","ID_1908151240582397456","10-19","2","3","3","4","Muy fácil","Muy fácil","Fácil","Difícil"
"2022/05/10 10:39:02 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1_ykqjpUswcq4ZWTuvch4G8aiVycXOPnp","ID_4975067202609667716","20-29","4","3","2","2","Muy fácil","Muy fácil","Difícil","Fácil"
"2022/05/10 10:51:57 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1InVhTrqE0_3ALXJ8EuuPRpQbzI4cHd3n","ID_1454797195216275149","20-29","4","3","2","3","Muy fácil","Fácil","Muy fácil","Muy fácil"
"2022/05/10 10:55:03 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1W2FID-4YPOfc_kLRh7Zn--PRV84erQ9J","Resultados videojuego","20-29","1","1","3","1","Muy fácil","Fácil","Difícil","Muy Difícil"
"2022/05/10 11:07:05 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1w9owTLQSzKmLuuMMvfhPW5gpcIGjONKF","ID_3400644272482275670","30-39","4","4","4","4","Fácil","Fácil","Fácil","Difícil"
"2022/05/10 11:31:32 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=19F_jg4St5FAtQqNPxSf1cN59bMwdyLZ4","ID_3514882119000477749","20-29","4","4","3","3","Muy fácil","Muy fácil","Muy fácil","Muy fácil"
"2022/05/10 11:33:04 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1kOOcu4NxxMWpozUGwr0Jf118CrwpIVg8","ID_4206063705545891601","10-19","4","3","2","2","Fácil","Difícil","Muy Difícil","Fácil"
"2022/05/10 11:35:50 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1wx7fv8k4OMt69oObUDwPCBmQPbfVRmdW","Los controles de teclas funcionan lentos (jugando con un portátil)","60+","2","1","2","2","Muy fácil","Fácil","Difícil","Difícil"
"2022/05/10 11:40:01 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1M-9UZhLoZov6hbbfMGYMLu05f12kjY6z","ID_7579882785742586227","20-29","4","4","2","3","Fácil","Fácil","Difícil","Difícil"
"2022/05/10 11:49:46 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1k2Zx51s-Qa2FwVQy02uKtgAOPwDYXeaJ","ID_7638204970386407791","20-29","4","3","4","4","Muy fácil","Muy fácil","Muy fácil","Fácil"
"2022/05/10 11:52:27 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=19a4DANxeEvRaBWx5MWc2zofqHHaM8rNU","ID_6632617611750505645","20-29","3","4","3","3","Muy fácil","Fácil","Fácil","Difícil"
"2022/05/10 11:58:56 p. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1iDBN5vFTmtzErWLOMzzophn1gQBdTVxk"," ID_7295008564065832249.json","20-29","4","3","3","4","Muy fácil","Muy fácil","Muy fácil","Muy fácil"
"2022/05/11 1:15:22 a. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1ceTGiqcNJBCRBKHg-d-41N-V8y2562we","ID_3376891233104962845","20-29","3","1","2","3","Muy fácil","Difícil","Fácil","Fácil"
"2022/05/11 2:36:11 a. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1wMU4lqZuN_2obSSB6f338XFu1Ound9vF","ID_8916659998577605203","20-29","4","4","4","4","Muy fácil","Muy fácil","Fácil","Fácil"
"2022/05/11 5:37:03 a. m. EET","https://drive.google.com/u/3/open?usp=forms_web&id=1dOY9Hhs6mTBAJE_-Ogr1WwaoW6wGX0Qh","ID_6192395045125194242","20-29","2","3","3","2","Fácil","Fácil","Difícil","Difícil"
